"MovieTitle","MovieID","MovieURL","ReleaseYear","IMDBRating","NumberOfUsersRated","DurationMins","ReleaseDate","Genre1","Genre2","Genre3","NumIMDBUserReviews","NumIMDBCriticReviews","DirectorName","DirectorID","DirectorURL","Star1Name","Star1ID","Star1URL","Star2Name","Star2ID","Star2URL","Star3Name","Star3ID","Star3URL","BoxOfficeBudget","BoxOfficeBudgetCurr","BoxOfficeOpeningWeekend","BoxOfficeOpeningWeekendCurr","BoxOfficeGross","BoxOfficeGrossCurr","NumberOfOscars"
"Aces High","tt0075627","http://www.imdb.com/title/tt0075627/","1976","6.6","1724","114"," December 1977
(USA)
","War","Drama","Action","1724",NA,"Howard Barker","/name/nm0792670","/name/nm0792670/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","1"
"The Goodbye Girl","tt0076095","http://www.imdb.com/title/tt0076095/","1977","7.4","9055","111"," 1 February 1978
(Australia)
","Comedy","Drama","Romance","9055",NA,"Neil Simon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"The Hobbit","tt0077687","http://www.imdb.com/title/tt0077687/",NA,"6.7","9521","90"," 27 November 1977
(USA)
","Animation","Adventure","Family","9521",NA,"Family","/name/nm0612239","/name/nm0612239/",NA,"/title/tt0077687/releaseinfo","/title/tt0077687/releaseinfo",NA,NA,NA,NA,NA,NA,"",NA,"Company Credits",NA,"
    Production Co:
        
ABC Video Enterprises,        
Rankin/Bass Productions,        
Topcraft      
        See more »
      
    ","NA","0"
"Semi-Tough","tt0078227","http://www.imdb.com/title/tt0078227/","1977","5.9","1778","108"," June 1978
(Austria)
","Comedy","Romance","Sport","1778",NA,"Walter Bernstein","/name/nm0420820","/name/nm0420820/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Close Encounters of the Third Kind","tt0075860","http://www.imdb.com/title/tt0075860/","1977","7.7","130765","137"," 25 December 1977
(USA)
","Drama","Sci-Fi",NA,"130765","164","Steven Spielberg","/name/nm0000229","/name/nm0000229/","Richard Dreyfuss","nm0000377","/name/nm0000377/","François Truffaut","nm0000076","/name/nm0000076/","Teri Garr","nm0000414","/name/nm0000414/","19400870","USD","
    Gross:        $128,300,000        

      (USA)
    ",NA,"
    See more »
  ","NA","1"
"The Turning Point","tt0076843","http://www.imdb.com/title/tt0076843/","1977","6.9","2959","119"," 18 November 1977
(USA)
","Drama","Romance",NA,"2959",NA,"Arthur Laurents","/name/nm0491306","/name/nm0491306/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","11"
"Mr. Klein","tt0074916","http://www.imdb.com/title/tt0074916/","1976","7.7","3496","123"," 23 September 1976
(Italy)
","Crime","Drama","Mystery","3496",NA,"Fernando Morandi","/name/nm0758357","/name/nm0758357/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Heroes","tt0076138","http://www.imdb.com/title/tt0076138/","1977","6.0","1235","112"," 17 November 1977
(USA)
","Comedy","Drama",NA,"1235",NA,"James Carabatsos","/name/nm0135829","/name/nm0135829/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","1"
"Which Way Is Up?","tt0076913","http://www.imdb.com/title/tt0076913/","1977","6.4","954","94"," 1 February 1979
(Denmark)
","Comedy",NA,NA,"954",NA,"Lina Wertmüller","/name/nm0331956","/name/nm0331956/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Pete's Dragon","tt0076538","http://www.imdb.com/title/tt0076538/","1977","6.3","15542","128"," 3 November 1977
(USA)
","Adventure","Family","Fantasy","15542",NA,"Don Chaffey",NA,NA,"Sean Marshall","nm0551171","/name/nm0551171/","Helen Reddy","nm0714761","/name/nm0714761/","Jim Dale","nm0197715","/name/nm0197715/","10000000","USD","
    See more »
  ",NA,"","NA","2"
"Emanuelle in Bangkok","tt0074478","http://www.imdb.com/title/tt0074478/","1976","3.6","627","87"," November 1977
(USA)
","Drama",NA,NA,"627",NA,"Ottavio Alessi","/name/nm0299313","/name/nm0299313/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Damnation Alley","tt0075909","http://www.imdb.com/title/tt0075909/","1977","5.2","3502","91"," 21 October 1977
(USA)
","Sci-Fi",NA,NA,"3502",NA,"Roger Zelazny","/name/nm0788991","/name/nm0788991/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Looking for Mr. Goodbar","tt0076327","http://www.imdb.com/title/tt0076327/","1977","6.7","4909","136"," 13 March 1978
(Sweden)
","Drama",NA,NA,"4909",NA,"Judith Rossner","/name/nm0112218","/name/nm0112218/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","2"
"Rolling Thunder","tt0076637","http://www.imdb.com/title/tt0076637/","1977","7.0","4815","95"," 6 February 1978
(Sweden)
","Action","Drama","Crime","4815",NA,"Paul Schrader","/name/nm0332392","/name/nm0332392/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"That Obscure Object of Desire","tt0075824","http://www.imdb.com/title/tt0075824/","1977","8.0","13921","102"," 8 October 1977
(USA)
","Comedy","Drama",NA,"13921","70","Luis Buñuel","/name/nm0000320","/name/nm0000320/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        $55,261        

      (USA)
      (16 November 2001)
    ",NA,"
    See more »
  ",NA,"","NA","2"
"A Piece of the Action","tt0076543","http://www.imdb.com/title/tt0076543/","1977","6.4","700","135"," 27 February 1978
(Denmark)
","Crime","Comedy",NA,"700",NA,"Charles Blackwell","/name/nm0085883","/name/nm0085883/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Oh, God!","tt0076489","http://www.imdb.com/title/tt0076489/","1977","6.5","6789","98"," 7 October 1977
(USA)
","Comedy","Fantasy",NA,"6789",NA,"Larry Gelbart","/name/nm0312205","/name/nm0312205/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"1900","tt0074084","http://www.imdb.com/title/tt0074084/","1976","7.7","16729","317"," 4 November 1977
(USA)
","Drama",NA,NA,"16729",NA,"Franco Arcalli","/name/nm0078233","/name/nm0078233/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        SEK 6,064,026        

      (Sweden)
    ",NA,"
    See more »
  ",NA,"","NA","0"
"The Lacemaker","tt0075932","http://www.imdb.com/title/tt0075932/","1977","7.9","1597","107"," 8 October 1977
(USA)
","Drama","Romance",NA,"1597",NA,"Claude Goretta","/name/nm0481939","/name/nm0481939/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"Valentino","tt0076868","http://www.imdb.com/title/tt0076868/","1977","6.1","1042","128"," 4 October 1977
(UK)
","Biography","Drama",NA,"1042",NA,"Ken Russell","/name/nm0001692","/name/nm0001692/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","3"
"Julia","tt0076245","http://www.imdb.com/title/tt0076245/","1977","7.4","6040","117"," 20 January 1978
(West Germany)
","Drama",NA,NA,"6040",NA,"Lillian Hellman","/name/nm0765091","/name/nm0765091/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        SEK 4,101,519        

      (Sweden)
    ",NA,"
    See more »
  ",NA,"","NA","3"
"Heart of Glass","tt0074626","http://www.imdb.com/title/tt0074626/","1976","7.2","3829","94"," 17 December 1976
(West Germany)
","Comedy","Drama",NA,"3829",NA,"Herbert Achternbusch","/name/nm0002157","/name/nm0002157/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Equus","tt0075995","http://www.imdb.com/title/tt0075995/","1977","7.2","5527","137"," October 1977
(UK)
","Drama","Mystery",NA,"5527",NA,"Peter Shaffer","/name/nm0787323","/name/nm0787323/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","3"
"The Man Who Loved Women","tt0076155","http://www.imdb.com/title/tt0076155/","1977","7.5","4635","120"," 27 April 1977
(France)
","Comedy","Drama","Romance","4635",NA,"Michel Fermaud","/name/nm0771535","/name/nm0771535/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"J.A. Martin photographe","tt0074702","http://www.imdb.com/title/tt0074702/","1977","8.1","224","100"," 11 February 1977
(Canada)
","Drama",NA,NA,"224",NA,"Jean Beaudin","/name/nm0754889","/name/nm0754889/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
      Budget:        CAD 300,000        

      (estimated)
      ",NA,"
    See more »
  ",NA,"","NA","0"
"Bobby Deerfield","tt0075774","http://www.imdb.com/title/tt0075774/","1977","5.9","2760","124"," 3 November 1977
(Netherlands)
","Drama","Romance",NA,"2760",NA,"Alvin Sargent","/name/nm0765091","/name/nm0765091/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"The Devil, Probably","tt0075938","http://www.imdb.com/title/tt0075938/","1977","7.3","2027","95"," 15 June 1977
(France)
","Drama",NA,NA,"2027",NA,"Robert Bresson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Handle with Care","tt0076123","http://www.imdb.com/title/tt0076123/","1977","6.7","491","98"," 29 September 1977
(USA)
","Comedy","Drama",NA,"491",NA,"Paul Brickman","/name/nm0001887","/name/nm0001887/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Technical Specs",NA,"
      Runtime: 
        98 min
    ","NA","0"
"Kill Me If You Can","tt0076262","http://www.imdb.com/title/tt0076262/",NA,"7.5","181","100"," 25 September 1977
(USA)
","Biography","Drama",NA,"181",NA,"John Gay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"The American Friend","tt0075675","http://www.imdb.com/title/tt0075675/","1977","7.4","8132","125"," 28 September 1977
(France)
","Crime","Mystery","Thriller","8132",NA,"Patricia Highsmith","/name/nm0000694","/name/nm0000694/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Who Are the DeBolts? [And Where Did They Get 19 Kids?]","tt0076918","http://www.imdb.com/title/tt0076918/","1977","7.3","143","72"," 10 September 1977
(Japan)
","Documentary","Biography",NA,"143",NA,"Kim Atwood","/name/nm2773826","/name/nm2773826/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"Rulers of the City","tt0076518","http://www.imdb.com/title/tt0076518/","1976","6.0","510","85"," September 1977
(USA)
","Crime","Thriller",NA,"510",NA,"Peter Berling","/name/nm0075655","/name/nm0075655/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"You Light Up My Life","tt0076941","http://www.imdb.com/title/tt0076941/","1977","4.5","466","90"," 31 August 1977
(USA)
","Drama","Romance",NA,"466",NA,"Joseph Brooks","/name/nm0112072","/name/nm0112072/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Technical Specs",NA,"
      Runtime: 
        90 min
    ","NA","1"
"Kingdom of the Spiders","tt0076271","http://www.imdb.com/title/tt0076271/","1977","5.9","3142","97"," November 1977
(USA)
","Sci-Fi","Horror",NA,"3142",NA,"Richard Robinson","/name/nm0733015","/name/nm0733015/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        $17,000,000        

      (USA)
    ",NA,"
    See more »
  ",NA,"","NA","0"
"Thunder and Lightning","tt0076820","http://www.imdb.com/title/tt0076820/","1977","5.4","275","95"," 12 August 1977
(West Germany)
","Action","Adventure","Comedy","275",NA,"William Hjortsberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Production Co:
        
Roger Corman Productions,        
Twentieth Century Fox Film Corporation      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Sinbad and the Eye of the Tiger","tt0076716","http://www.imdb.com/title/tt0076716/","1977","6.3","4551","113"," 15 July 1977
(West Germany)
","Action","Adventure","Drama","4551",NA,"Beverley Cross","/name/nm0189117","/name/nm0189117/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"The Little Girl Who Lives Down the Lane","tt0074806","http://www.imdb.com/title/tt0074806/","1976","7.1","8956","91"," 26 January 1977
(France)
","Drama","Mystery","Thriller","8956",NA,"Laird Koenig","/name/nm0462837","/name/nm0462837/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
      Budget:        CAD 1,100,000        

      (estimated)
      ",NA,"
    See more »
  ",NA,"","NA","0"
